"year","canton","divorces"
2020,"Aargau",1205
2020,"Appenzell Ausserrhoden",102
2020,"Appenzell Innerrhoden",32
2020,"Basel-Landschaft",552
2020,"Basel-Stadt",378
2020,"Bern / Berne",2015
2020,"Fribourg / Freiburg",599
2020,"Genève",1086
2020,"Glarus",62
2020,"Graubünden / Grigioni / Grischun",327
2020,"Jura",179
2020,"Luzern",723
2020,"Neuchâtel",375
2020,"Nidwalden",62
2020,"Obwalden",58
2020,"Schaffhausen",151
2020,"Schwyz",314
2020,"Solothurn",496
2020,"St. Gallen",927
2020,"Switzerland",16210
2020,"Thurgau",497
2020,"Ticino",687
2020,"Uri",48
2020,"Valais / Wallis",704
2020,"Vaud",1590
2020,"Zug",218
2020,"Zürich",2823
2021,"Aargau",1482
2021,"Appenzell Ausserrhoden",91
2021,"Appenzell Innerrhoden",28
2021,"Basel-Landschaft",520
2021,"Basel-Stadt",358
2021,"Bern / Berne",1962
2021,"Fribourg / Freiburg",719
2021,"Genève",1272
2021,"Glarus",70
2021,"Graubünden / Grigioni / Grischun",329
2021,"Jura",177
2021,"Luzern",740
2021,"Neuchâtel",435
2021,"Nidwalden",76
2021,"Obwalden",66
2021,"Schaffhausen",159
2021,"Schwyz",312
2021,"Solothurn",545
2021,"St. Gallen",921
2021,"Switzerland",17159
2021,"Thurgau",523
2021,"Ticino",705
2021,"Uri",59
2021,"Valais / Wallis",710
2021,"Vaud",1624
2021,"Zug",223
2021,"Zürich",3053
2022,"Aargau",1231
2022,"Appenzell Ausserrhoden",99
2022,"Appenzell Innerrhoden",22
2022,"Basel-Landschaft",520
2022,"Basel-Stadt",362
2022,"Bern / Berne",1908
2022,"Fribourg / Freiburg",656
2022,"Genève",1117
2022,"Glarus",79
2022,"Graubünden / Grigioni / Grischun",336
2022,"Jura",141
2022,"Luzern",731
2022,"Neuchâtel",400
2022,"Nidwalden",85
2022,"Obwalden",66
2022,"Schaffhausen",157
2022,"Schwyz",306
2022,"Solothurn",530
2022,"St. Gallen",912
2022,"Switzerland",16201
2022,"Thurgau",516
2022,"Ticino",686
2022,"Uri",47
2022,"Valais / Wallis",638
2022,"Vaud",1664
2022,"Zug",207
2022,"Zürich",2785
2023,"Aargau",1207
2023,"Appenzell Ausserrhoden",88
2023,"Appenzell Innerrhoden",18
2023,"Basel-Landschaft",524
2023,"Basel-Stadt",305
2023,"Bern / Berne",1764
2023,"Fribourg / Freiburg",694
2023,"Genève",1123
2023,"Glarus",60
2023,"Graubünden / Grigioni / Grischun",320
2023,"Jura",127
2023,"Luzern",657
2023,"Neuchâtel",397
2023,"Nidwalden",62
2023,"Obwalden",61
2023,"Schaffhausen",152
2023,"Schwyz",273
2023,"Solothurn",493
2023,"St. Gallen",890
2023,"Switzerland",15598
2023,"Thurgau",485
2023,"Ticino",592
2023,"Uri",47
2023,"Valais / Wallis",719
2023,"Vaud",1613
2023,"Zug",205
2023,"Zürich",2722
2024,"Aargau",1238
2024,"Appenzell Ausserrhoden",87
2024,"Appenzell Innerrhoden",23
2024,"Basel-Landschaft",495
2024,"Basel-Stadt",372
2024,"Bern / Berne",1808
2024,"Fribourg / Freiburg",652
2024,"Genève",1129
2024,"Glarus",61
2024,"Graubünden / Grigioni / Grischun",316
2024,"Jura",154
2024,"Luzern",701
2024,"Neuchâtel",358
2024,"Nidwalden",61
2024,"Obwalden",58
2024,"Schaffhausen",160
2024,"Schwyz",267
2024,"Solothurn",542
2024,"St. Gallen",908
2024,"Switzerland",16123
2024,"Thurgau",532
2024,"Ticino",657
2024,"Uri",33
2024,"Valais / Wallis",769
2024,"Vaud",1622
2024,"Zug",187
2024,"Zürich",2933
